time,source,destination,vlan_prio
0.529862,10.0.0.2,10.0.0.1,6
0.529970,10.0.0.5,10.0.0.1,0
0.529986,10.0.0.3,10.0.0.1,5
0.530093,10.0.0.3,10.0.0.1,5
0.530106,10.0.0.5,10.0.0.1,0
0.530230,10.0.0.5,10.0.0.1,0
0.530244,10.0.0.2,10.0.0.1,6
0.530337,10.0.0.4,10.0.0.1,4
0.530368,10.0.0.5,10.0.0.1,0
0.530460,10.0.0.2,10.0.0.1,6
0.530521,10.0.0.5,10.0.0.1,0
0.530584,10.0.0.4,10.0.0.1,4
0.530651,10.0.0.5,10.0.0.1,0
0.530731,10.0.0.2,10.0.0.1,6
0.530771,10.0.0.5,10.0.0.1,0
0.530851,10.0.0.3,10.0.0.1,5
0.530892,10.0.0.5,10.0.0.1,0
0.530976,10.0.0.4,10.0.0.1,4
0.531021,10.0.0.5,10.0.0.1,0
0.531105,10.0.0.2,10.0.0.1,6
0.531141,10.0.0.5,10.0.0.1,0
0.531229,10.0.0.4,10.0.0.1,4
0.531270,10.0.0.5,10.0.0.1,0
0.531349,10.0.0.2,10.0.0.1,6
0.531389,10.0.0.5,10.0.0.1,0
0.531467,10.0.0.4,10.0.0.1,4
0.531509,10.0.0.5,10.0.0.1,0
0.531587,10.0.0.2,10.0.0.1,6
0.531629,10.0.0.5,10.0.0.1,0
0.531706,10.0.0.4,10.0.0.1,4
0.531747,10.0.0.5,10.0.0.1,0
0.531838,10.0.0.2,10.0.0.1,6
0.531851,10.0.0.5,10.0.0.1,0
0.531949,10.0.0.5,10.0.0.1,0
0.531980,10.0.0.3,10.0.0.1,5
0.532082,10.0.0.5,10.0.0.1,0
0.532129,10.0.0.4,10.0.0.1,4
0.532206,10.0.0.5,10.0.0.1,0
0.532273,10.0.0.2,10.0.0.1,6
0.532327,10.0.0.5,10.0.0.1,0
0.532394,10.0.0.4,10.0.0.1,4
0.532446,10.0.0.5,10.0.0.1,0
0.532514,10.0.0.2,10.0.0.1,6
0.532567,10.0.0.5,10.0.0.1,0
0.532653,10.0.0.3,10.0.0.1,5
0.532687,10.0.0.5,10.0.0.1,0
0.532778,10.0.0.2,10.0.0.1,6
0.532807,10.0.0.5,10.0.0.1,0
0.532943,10.0.0.5,10.0.0.1,0
0.532957,10.0.0.2,10.0.0.1,6
0.533075,10.0.0.5,10.0.0.1,0
0.533840,10.0.0.5,10.0.0.1,0
0.533970,10.0.0.5,10.0.0.1,0
0.534090,10.0.0.5,10.0.0.1,0
0.534215,10.0.0.5,10.0.0.1,0
0.534334,10.0.0.5,10.0.0.1,0
0.534453,10.0.0.5,10.0.0.1,0
0.534570,10.0.0.5,10.0.0.1,0
0.534689,10.0.0.5,10.0.0.1,0
0.534806,10.0.0.5,10.0.0.1,0
0.534927,10.0.0.5,10.0.0.1,0
0.535045,10.0.0.5,10.0.0.1,0
0.535165,10.0.0.5,10.0.0.1,0
0.535282,10.0.0.5,10.0.0.1,0
0.535402,10.0.0.5,10.0.0.1,0
0.535520,10.0.0.5,10.0.0.1,0
0.535638,10.0.0.5,10.0.0.1,0
0.535756,10.0.0.5,10.0.0.1,0
0.535837,10.0.0.5,10.0.0.1,0
0.535967,10.0.0.5,10.0.0.1,0
0.536082,10.0.0.5,10.0.0.1,0
0.536248,10.0.0.5,10.0.0.1,0
0.536399,10.0.0.5,10.0.0.1,0
0.536538,10.0.0.5,10.0.0.1,0
0.536930,10.0.0.5,10.0.0.1,0
0.537054,10.0.0.5,10.0.0.1,0
0.537206,10.0.0.5,10.0.0.1,0
0.544678,10.0.0.2,10.0.0.1,6
0.545589,10.0.0.3,10.0.0.1,5
0.545730,10.0.0.4,10.0.0.1,4
0.545849,10.0.0.3,10.0.0.1,5
0.545990,10.0.0.2,10.0.0.1,6
0.546112,10.0.0.3,10.0.0.1,5
0.546232,10.0.0.2,10.0.0.1,6
0.546502,10.0.0.3,10.0.0.1,5
0.546921,10.0.0.2,10.0.0.1,6
0.547057,10.0.0.3,10.0.0.1,5
0.547175,10.0.0.2,10.0.0.1,6
0.547306,10.0.0.3,10.0.0.1,5
0.547472,10.0.0.2,10.0.0.1,6
0.547592,10.0.0.3,10.0.0.1,5
0.547709,10.0.0.2,10.0.0.1,6
0.547910,10.0.0.3,10.0.0.1,5
0.551767,10.0.0.5,10.0.0.1,0
0.551930,10.0.0.5,10.0.0.1,0
0.552014,10.0.0.5,10.0.0.1,0
0.552096,10.0.0.5,10.0.0.1,0
0.552177,10.0.0.5,10.0.0.1,0
0.552258,10.0.0.5,10.0.0.1,0
0.552340,10.0.0.5,10.0.0.1,0
0.552420,10.0.0.5,10.0.0.1,0
0.552502,10.0.0.5,10.0.0.1,0
0.552582,10.0.0.5,10.0.0.1,0
0.552663,10.0.0.5,10.0.0.1,0
0.552744,10.0.0.5,10.0.0.1,0
0.552843,10.0.0.5,10.0.0.1,0
0.552929,10.0.0.5,10.0.0.1,0
0.553045,10.0.0.5,10.0.0.1,0
0.553744,10.0.0.5,10.0.0.1,0
0.553832,10.0.0.5,10.0.0.1,0
0.553956,10.0.0.5,10.0.0.1,0
0.554075,10.0.0.5,10.0.0.1,0
0.554227,10.0.0.5,10.0.0.1,0
0.554353,10.0.0.5,10.0.0.1,0
0.554472,10.0.0.5,10.0.0.1,0
0.554597,10.0.0.5,10.0.0.1,0
0.554714,10.0.0.5,10.0.0.1,0
0.554832,10.0.0.5,10.0.0.1,0
0.554958,10.0.0.5,10.0.0.1,0
0.555110,10.0.0.5,10.0.0.1,0
0.555252,10.0.0.5,10.0.0.1,0
0.555384,10.0.0.5,10.0.0.1,0
0.555510,10.0.0.5,10.0.0.1,0
0.555630,10.0.0.5,10.0.0.1,0
0.555787,10.0.0.5,10.0.0.1,0
0.555980,10.0.0.5,10.0.0.1,0
0.556107,10.0.0.5,10.0.0.1,0
0.556225,10.0.0.5,10.0.0.1,0
0.556343,10.0.0.5,10.0.0.1,0
0.556711,10.0.0.5,10.0.0.1,0
0.556851,10.0.0.5,10.0.0.1,0
0.556991,10.0.0.5,10.0.0.1,0
0.557125,10.0.0.5,10.0.0.1,0
0.557679,10.0.0.5,10.0.0.1,0
0.557802,10.0.0.5,10.0.0.1,0
0.557928,10.0.0.5,10.0.0.1,0
0.558049,10.0.0.5,10.0.0.1,0
0.558217,10.0.0.5,10.0.0.1,0
0.558360,10.0.0.5,10.0.0.1,0
0.558501,10.0.0.5,10.0.0.1,0
0.558630,10.0.0.5,10.0.0.1,0
0.558761,10.0.0.5,10.0.0.1,0
0.558890,10.0.0.5,10.0.0.1,0
0.559033,10.0.0.5,10.0.0.1,0
0.559187,10.0.0.5,10.0.0.1,0
0.559320,10.0.0.5,10.0.0.1,0
0.559445,10.0.0.5,10.0.0.1,0
0.559570,10.0.0.5,10.0.0.1,0
0.559711,10.0.0.5,10.0.0.1,0
0.559845,10.0.0.5,10.0.0.1,0
0.559976,10.0.0.5,10.0.0.1,0
0.560105,10.0.0.5,10.0.0.1,0
0.560231,10.0.0.5,10.0.0.1,0
0.560353,10.0.0.5,10.0.0.1,0
0.560485,10.0.0.5,10.0.0.1,0
0.560606,10.0.0.5,10.0.0.1,0
0.560728,10.0.0.5,10.0.0.1,0
0.560850,10.0.0.5,10.0.0.1,0
0.560972,10.0.0.5,10.0.0.1,0
0.561093,10.0.0.5,10.0.0.1,0
0.561664,10.0.0.2,10.0.0.1,6
0.561791,10.0.0.5,10.0.0.1,0
0.561839,10.0.0.2,10.0.0.1,6
0.561914,10.0.0.5,10.0.0.1,0
0.562050,10.0.0.2,10.0.0.1,6
0.562064,10.0.0.5,10.0.0.1,0
0.562151,10.0.0.5,10.0.0.1,0
0.562196,10.0.0.2,10.0.0.1,6
0.562273,10.0.0.5,10.0.0.1,0
0.562315,10.0.0.2,10.0.0.1,6
0.562391,10.0.0.5,10.0.0.1,0
0.562442,10.0.0.2,10.0.0.1,6
0.562514,10.0.0.5,10.0.0.1,0
0.562562,10.0.0.2,10.0.0.1,6
0.562646,10.0.0.5,10.0.0.1,0
0.562710,10.0.0.2,10.0.0.1,6
0.562787,10.0.0.5,10.0.0.1,0
0.562869,10.0.0.2,10.0.0.1,6
0.562910,10.0.0.5,10.0.0.1,0
0.563039,10.0.0.2,10.0.0.1,6
0.563059,10.0.0.5,10.0.0.1,0
0.563141,10.0.0.5,10.0.0.1,0
0.563195,10.0.0.2,10.0.0.1,6
0.563261,10.0.0.5,10.0.0.1,0
0.563316,10.0.0.4,10.0.0.1,4
0.563379,10.0.0.5,10.0.0.1,0
0.563448,10.0.0.2,10.0.0.1,6
0.563500,10.0.0.5,10.0.0.1,0
0.563569,10.0.0.4,10.0.0.1,4
0.563618,10.0.0.5,10.0.0.1,0
0.563687,10.0.0.2,10.0.0.1,6
0.563736,10.0.0.5,10.0.0.1,0
0.563805,10.0.0.4,10.0.0.1,4
0.563855,10.0.0.5,10.0.0.1,0
0.563924,10.0.0.2,10.0.0.1,6
0.563973,10.0.0.5,10.0.0.1,0
0.564067,10.0.0.4,10.0.0.1,4
0.564095,10.0.0.5,10.0.0.1,0
0.564188,10.0.0.2,10.0.0.1,6
0.564496,10.0.0.5,10.0.0.1,0
0.564671,10.0.0.4,10.0.0.1,4
0.564841,10.0.0.5,10.0.0.1,0
0.564856,10.0.0.2,10.0.0.1,6
0.564950,10.0.0.4,10.0.0.1,4
0.564974,10.0.0.5,10.0.0.1,0
0.565070,10.0.0.2,10.0.0.1,6
0.565091,10.0.0.5,10.0.0.1,0
0.565189,10.0.0.2,10.0.0.1,6
0.565215,10.0.0.5,10.0.0.1,0
0.565531,10.0.0.4,10.0.0.1,4
0.577762,10.0.0.5,10.0.0.1,0
0.577852,10.0.0.5,10.0.0.1,0
0.577934,10.0.0.5,10.0.0.1,0
0.578016,10.0.0.5,10.0.0.1,0
0.578098,10.0.0.5,10.0.0.1,0
0.578194,10.0.0.5,10.0.0.1,0
0.578276,10.0.0.5,10.0.0.1,0
0.578358,10.0.0.5,10.0.0.1,0
0.578444,10.0.0.5,10.0.0.1,0
0.578527,10.0.0.5,10.0.0.1,0
0.578703,10.0.0.5,10.0.0.1,0
0.578884,10.0.0.5,10.0.0.1,0
0.578970,10.0.0.5,10.0.0.1,0
0.579050,10.0.0.5,10.0.0.1,0
0.579175,10.0.0.5,10.0.0.1,0
0.579292,10.0.0.5,10.0.0.1,0
0.579409,10.0.0.5,10.0.0.1,0
0.579734,10.0.0.5,10.0.0.1,0
0.579875,10.0.0.5,10.0.0.1,0
0.580012,10.0.0.5,10.0.0.1,0
0.580158,10.0.0.5,10.0.0.1,0
0.580293,10.0.0.5,10.0.0.1,0
0.580426,10.0.0.5,10.0.0.1,0
0.580561,10.0.0.5,10.0.0.1,0
0.580706,10.0.0.5,10.0.0.1,0
0.580845,10.0.0.5,10.0.0.1,0
0.580983,10.0.0.5,10.0.0.1,0
0.581123,10.0.0.5,10.0.0.1,0
0.581258,10.0.0.5,10.0.0.1,0
0.581836,10.0.0.5,10.0.0.1,0
0.581906,10.0.0.3,10.0.0.1,5
0.581954,10.0.0.5,10.0.0.1,0
0.582028,10.0.0.2,10.0.0.1,6
0.582071,10.0.0.5,10.0.0.1,0
0.582157,10.0.0.4,10.0.0.1,4
0.582188,10.0.0.5,10.0.0.1,0
0.582281,10.0.0.3,10.0.0.1,5
0.582307,10.0.0.5,10.0.0.1,0
0.582423,10.0.0.5,10.0.0.1,0
0.582540,10.0.0.5,10.0.0.1,0
0.582656,10.0.0.5,10.0.0.1,0
0.590677,10.0.0.2,10.0.0.1,6
0.590805,10.0.0.4,10.0.0.1,4
0.590924,10.0.0.3,10.0.0.1,5
0.591042,10.0.0.2,10.0.0.1,6
0.591159,10.0.0.4,10.0.0.1,4
0.591301,10.0.0.3,10.0.0.1,5
0.591434,10.0.0.2,10.0.0.1,6
0.591552,10.0.0.4,10.0.0.1,4
0.591671,10.0.0.3,10.0.0.1,5
0.591788,10.0.0.2,10.0.0.1,6
0.591907,10.0.0.4,10.0.0.1,4
0.592024,10.0.0.3,10.0.0.1,5
0.592344,10.0.0.2,10.0.0.1,6
0.592474,10.0.0.4,10.0.0.1,4
0.592593,10.0.0.3,10.0.0.1,5
0.592717,10.0.0.2,10.0.0.1,6
0.593013,10.0.0.4,10.0.0.1,4
0.593133,10.0.0.3,10.0.0.1,5
0.593476,10.0.0.2,10.0.0.1,6
0.593614,10.0.0.4,10.0.0.1,4
0.593815,10.0.0.3,10.0.0.1,5
0.594060,10.0.0.2,10.0.0.1,6
0.594257,10.0.0.4,10.0.0.1,4
0.594433,10.0.0.3,10.0.0.1,5
0.594726,10.0.0.2,10.0.0.1,6
0.594849,10.0.0.4,10.0.0.1,4
0.595028,10.0.0.3,10.0.0.1,5
0.595217,10.0.0.2,10.0.0.1,6
0.595338,10.0.0.4,10.0.0.1,4
0.595483,10.0.0.3,10.0.0.1,5
0.595620,10.0.0.2,10.0.0.1,6
0.595769,10.0.0.4,10.0.0.1,4
0.595919,10.0.0.3,10.0.0.1,5
0.596061,10.0.0.2,10.0.0.1,6
0.596204,10.0.0.3,10.0.0.1,5
0.596378,10.0.0.2,10.0.0.1,6
0.596526,10.0.0.3,10.0.0.1,5
0.596651,10.0.0.2,10.0.0.1,6
0.596850,10.0.0.3,10.0.0.1,5
0.596971,10.0.0.2,10.0.0.1,6
0.597090,10.0.0.3,10.0.0.1,5
0.597216,10.0.0.2,10.0.0.1,6
0.602518,10.0.0.5,10.0.0.1,0
0.602705,10.0.0.5,10.0.0.1,0
0.602860,10.0.0.5,10.0.0.1,0
0.603010,10.0.0.5,10.0.0.1,0
0.603169,10.0.0.5,10.0.0.1,0
0.603320,10.0.0.5,10.0.0.1,0
0.603472,10.0.0.5,10.0.0.1,0
0.603623,10.0.0.5,10.0.0.1,0
0.603777,10.0.0.5,10.0.0.1,0
0.603935,10.0.0.5,10.0.0.1,0
0.604084,10.0.0.5,10.0.0.1,0
0.604238,10.0.0.5,10.0.0.1,0
